,pair,word2vec_score,doctype,fromdate,todate
0,"('ontucht', 'samir')",0.19159461557865143,adtrouwtelnrcvk,2008,2013
1,"('ontucht', 'ahmed')",0.11254894733428955,adtrouwtelnrcvk,2008,2013
2,"('ontucht', 'munir')",0.2221020758152008,adtrouwtelnrcvk,2008,2013
3,"('ontucht', 'youssef')",0.2102389633655548,adtrouwtelnrcvk,2008,2013
4,"('ontucht', 'driss')",0.16324737668037415,adtrouwtelnrcvk,2008,2013
5,"('ontucht', 'jamal')",0.01722005009651184,adtrouwtelnrcvk,2008,2013
6,"('ontucht', 'rashid')",-0.020681891590356827,adtrouwtelnrcvk,2008,2013
7,"('ontucht', 'tarik')",0.14133939146995544,adtrouwtelnrcvk,2008,2013
8,"('ontucht', 'mohammed')",0.2140793651342392,adtrouwtelnrcvk,2008,2013
9,"('ontucht', 'hamza')",0.21275968849658966,adtrouwtelnrcvk,2008,2013
10,"('ontucht', 'ali')",0.08383867144584656,adtrouwtelnrcvk,2008,2013
11,"('ontucht', 'said')",0.07949036359786987,adtrouwtelnrcvk,2008,2013
12,"('ontucht', 'kamal')",0.19555971026420593,adtrouwtelnrcvk,2008,2013
13,"('ontucht', 'murad')",0.02758805826306343,adtrouwtelnrcvk,2008,2013
14,"('ontucht', 'naima')",0.12004940211772919,adtrouwtelnrcvk,2008,2013
15,"('ontucht', 'adil')",0.11697054654359818,adtrouwtelnrcvk,2008,2013
16,"('ontucht', 'omar')",0.1297054886817932,adtrouwtelnrcvk,2008,2013
17,"('verkrachten', 'samir')",0.313608318567276,adtrouwtelnrcvk,2008,2013
18,"('verkrachten', 'ahmed')",0.2885085344314575,adtrouwtelnrcvk,2008,2013
19,"('verkrachten', 'munir')",0.3755575120449066,adtrouwtelnrcvk,2008,2013
20,"('verkrachten', 'youssef')",0.2503453195095062,adtrouwtelnrcvk,2008,2013
21,"('verkrachten', 'driss')",0.1991526335477829,adtrouwtelnrcvk,2008,2013
22,"('verkrachten', 'jamal')",0.1935683786869049,adtrouwtelnrcvk,2008,2013
23,"('verkrachten', 'rashid')",0.19416728615760803,adtrouwtelnrcvk,2008,2013
24,"('verkrachten', 'tarik')",0.22855906188488007,adtrouwtelnrcvk,2008,2013
25,"('verkrachten', 'mohammed')",0.31038370728492737,adtrouwtelnrcvk,2008,2013
26,"('verkrachten', 'hamza')",0.3714541494846344,adtrouwtelnrcvk,2008,2013
27,"('verkrachten', 'ali')",0.27260875701904297,adtrouwtelnrcvk,2008,2013
28,"('verkrachten', 'said')",0.3003556430339813,adtrouwtelnrcvk,2008,2013
