,pair,word2vec_score,doctype,fromdate,todate
0,"('ontucht', 'teun')",0.12667012214660645,adtrouwtelnrcvk,2008,2013
1,"('ontucht', 'sander')",0.09695369005203247,adtrouwtelnrcvk,2008,2013
2,"('ontucht', 'bob')",-0.0040558213368058205,adtrouwtelnrcvk,2008,2013
3,"('ontucht', 'joost')",0.008900397457182407,adtrouwtelnrcvk,2008,2013
4,"('ontucht', 'maarten')",-0.031516194343566895,adtrouwtelnrcvk,2008,2013
5,"('ontucht', 'matthijs')",0.02830660343170166,adtrouwtelnrcvk,2008,2013
6,"('ontucht', 'bas')",0.06575780361890793,adtrouwtelnrcvk,2008,2013
7,"('ontucht', 'roel')",0.09424970299005508,adtrouwtelnrcvk,2008,2013
8,"('ontucht', 'joris')",0.025205189362168312,adtrouwtelnrcvk,2008,2013
9,"('ontucht', 'jeroen')",-0.01033514179289341,adtrouwtelnrcvk,2008,2013
10,"('ontucht', 'daan')",0.10372171550989151,adtrouwtelnrcvk,2008,2013
11,"('ontucht', 'lucas')",0.12130305916070938,adtrouwtelnrcvk,2008,2013
12,"('ontucht', 'thijs')",0.10452146828174591,adtrouwtelnrcvk,2008,2013
13,"('ontucht', 'remco')",0.11482888460159302,adtrouwtelnrcvk,2008,2013
14,"('ontucht', 'wouter')",0.015311474911868572,adtrouwtelnrcvk,2008,2013
15,"('ontucht', 'thomas')",0.04259466007351875,adtrouwtelnrcvk,2008,2013
16,"('ontucht', 'michiel')",0.04653804749250412,adtrouwtelnrcvk,2008,2013
17,"('ontucht', 'bram')",0.18073785305023193,adtrouwtelnrcvk,2008,2013
18,"('verkrachten', 'teun')",-0.024463703855872154,adtrouwtelnrcvk,2008,2013
19,"('verkrachten', 'sander')",-0.05990474298596382,adtrouwtelnrcvk,2008,2013
20,"('verkrachten', 'bob')",0.000608022790402174,adtrouwtelnrcvk,2008,2013
21,"('verkrachten', 'joost')",-0.15436802804470062,adtrouwtelnrcvk,2008,2013
22,"('verkrachten', 'maarten')",-0.10512237250804901,adtrouwtelnrcvk,2008,2013
23,"('verkrachten', 'matthijs')",-0.10044373571872711,adtrouwtelnrcvk,2008,2013
24,"('verkrachten', 'bas')",-0.07279276102781296,adtrouwtelnrcvk,2008,2013
25,"('verkrachten', 'roel')",-0.058225277811288834,adtrouwtelnrcvk,2008,2013
26,"('verkrachten', 'joris')",-0.09756289422512054,adtrouwtelnrcvk,2008,2013
27,"('verkrachten', 'jeroen')",-0.10323648154735565,adtrouwtelnrcvk,2008,2013
28,"('verkrachten', 'daan')",-0.012669104151427746,adtrouwtelnrcvk,2008,2013
29,"('verkrachten', 'lucas')",0.01383467111736536,adtrouwtelnrcvk,2008,2013
30,"('verkrachten', 'thijs')",-0.03210819512605667,adtrouwtelnrcvk,2008,2013
31,"('verkrachten', 'remco')",-0.07064037770032883,adtrouwtelnrcvk,2008,2013
32,"('verkrachten', 'wouter')",-0.08858806639909744,adtrouwtelnrcvk,2008,2013
33,"('verkrachten', 'thomas')",0.02742771804332733,adtrouwtelnrcvk,2008,2013
34,"('verkrachten', 'michiel')",-0.09706511348485947,adtrouwtelnrcvk,2008,2013
35,"('verkrachten', 'bram')",-0.00416868831962347,adtrouwtelnrcvk,2008,2013
36,"('verkrachtingszaak', 'teun')",-0.07185757905244827,adtrouwtelnrcvk,2008,2013
37,"('verkrachtingszaak', 'sander')",-0.011493555270135403,adtrouwtelnrcvk,2008,2013
38,"('verkrachtingszaak', 'bob')",-0.041804708540439606,adtrouwtelnrcvk,2008,2013
39,"('verkrachtingszaak', 'joost')",-0.09207704663276672,adtrouwtelnrcvk,2008,2013
40,"('verkrachtingszaak', 'maarten')",-0.17467881739139557,adtrouwtelnrcvk,2008,2013
41,"('verkrachtingszaak', 'matthijs')",-0.11309361457824707,adtrouwtelnrcvk,2008,2013
42,"('verkrachtingszaak', 'bas')",-0.09296396374702454,adtrouwtelnrcvk,2008,2013
43,"('verkrachtingszaak', 'roel')",-0.10182429850101471,adtrouwtelnrcvk,2008,2013
