,pair,word2vec_score,doctype,fromdate,todate
0,"('ontucht', 'vluchteling')",0.12786827981472015,adtrouwtelnrcvk,2008,2013
1,"('ontucht', 'gambiaans')",0.04175296053290367,adtrouwtelnrcvk,2008,2013
2,"('ontucht', 'somalier')",0.0,adtrouwtelnrcvk,2008,2013
3,"('ontucht', 'nigerianen')",0.04273621365427971,adtrouwtelnrcvk,2008,2013
4,"('ontucht', 'eritrea')",0.13743360340595245,adtrouwtelnrcvk,2008,2013
5,"('ontucht', 'immigranten')",0.045992180705070496,adtrouwtelnrcvk,2008,2013
6,"('ontucht', 'eritreeer')",0.0,adtrouwtelnrcvk,2008,2013
7,"('ontucht', 'allochtonen')",0.1461603045463562,adtrouwtelnrcvk,2008,2013
8,"('ontucht', 'eritreeers')",0.0,adtrouwtelnrcvk,2008,2013
9,"('ontucht', 'soedan')",0.0643010288476944,adtrouwtelnrcvk,2008,2013
10,"('ontucht', 'afghanen')",0.007657558191567659,adtrouwtelnrcvk,2008,2013
11,"('ontucht', 'bengalees')",0.14759647846221924,adtrouwtelnrcvk,2008,2013
12,"('ontucht', 'bangladesh')",0.051508285105228424,adtrouwtelnrcvk,2008,2013
13,"('ontucht', 'senegalezen')",0.05705195292830467,adtrouwtelnrcvk,2008,2013
14,"('ontucht', 'afghaan')",0.17295430600643158,adtrouwtelnrcvk,2008,2013
15,"('ontucht', 'nigeria')",0.07771026343107224,adtrouwtelnrcvk,2008,2013
16,"('ontucht', 'syrier')",0.06260254979133606,adtrouwtelnrcvk,2008,2013
17,"('ontucht', 'allochtoon')",0.1949564665555954,adtrouwtelnrcvk,2008,2013
18,"('ontucht', 'syrie')",-0.016772624105215073,adtrouwtelnrcvk,2008,2013
19,"('ontucht', 'soedanees')",0.04257557541131973,adtrouwtelnrcvk,2008,2013
20,"('ontucht', 'syrisch')",0.0885099321603775,adtrouwtelnrcvk,2008,2013
21,"('ontucht', 'pakistaans')",0.10577224940061569,adtrouwtelnrcvk,2008,2013
22,"('ontucht', 'irakezen')",0.07336476445198059,adtrouwtelnrcvk,2008,2013
23,"('ontucht', 'soedanse')",0.0,adtrouwtelnrcvk,2008,2013
24,"('ontucht', 'pakistaan')",0.09015840291976929,adtrouwtelnrcvk,2008,2013
